,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
0,11508,Palermo,-34.58184,-58.42415,Entire home/apt,67518.0,3,44
1,14222,Palermo,-34.58617,-58.41036,Entire home/apt,22375.0,7,123
3,16695,Monserrat,-34.61439,-58.37611,Entire home/apt,52511.0,2,45
4,20062,Palermo,-34.581848,-58.441605,Entire home/apt,113360.0,2,330
6,24713,San Nicolas,-34.60254,-58.37811,Entire home/apt,30761.0,1,378
7,24763,Chacarita,-34.58494,-58.44419,Entire home/apt,315065.0,12,37
8,27631,Recoleta,-34.59272,-58.3894,Entire home/apt,31507.0,2,115
9,29990,Palermo,-34.58602,-58.42749,Entire home/apt,53257.0,2,154
10,31216,Belgrano,-34.55948,-58.44528,Entire home/apt,72465.0,7,11
11,31514,Monserrat,-34.61494,-58.37517,Entire home/apt,73515.0,2,41
13,37347,Palermo,-34.57148,-58.43246,Entire home/apt,26255.0,5,101
14,41608,Palermo,-34.58511,-58.42741,Entire home/apt,57762.0,2,159
15,42450,Monserrat,-34.61578,-58.37175,Entire home/apt,89268.0,3,198
16,45498,Palermo,-34.58182,-58.44144,Entire home/apt,91264.0,2,185
17,48089,Recoleta,-34.58705,-58.38791,Entire home/apt,52511.0,7,111
18,48535,Retiro,-34.5962,-58.37529,Entire home/apt,52511.0,90,0
19,52115,Recoleta,-34.59386,-58.3944,Entire home/apt,24155.0,5,21
21,53097,Monserrat,-34.61494,-58.37517,Entire home/apt,63013.0,2,37
22,61282,Nuñez,-34.55396,-58.46753,Entire home/apt,38858.0,6,148
23,65446,Palermo,-34.58102,-58.42349,Entire home/apt,126026.0,3,207
24,66939,Palermo,-34.58267,-58.42497,Entire home/apt,84017.0,3,353
25,66940,Palermo,-34.58272,-58.42382,Entire home/apt,71415.0,3,275
26,68489,Palermo,-34.58045,-58.43208,Entire home/apt,79669.0,3,155
27,68800,Recoleta,-34.59278,-58.3876,Entire home/apt,362325.0,2,98
28,68868,Palermo,-34.58165,-58.42527,Entire home/apt,147030.0,3,344
29,69063,Recoleta,-34.5953483581543,-58.39683532714844,Entire home/apt,32557.0,1,367
30,69086,Monserrat,-34.61495,-58.37517,Entire home/apt,42009.0,2,41
31,69880,Palermo,-34.57797,-58.43821,Entire home/apt,173286.0,7,33
32,70082,Palermo,-34.56926,-58.4437,Entire home/apt,33607.0,20,50
33,71801,Recoleta,-34.59514,-58.39914,Entire home/apt,44109.0,3,111
34,72204,Palermo,-34.5902,-58.42993,Entire home/apt,340722.0,3,75
35,73180,Palermo,-34.57213,-58.43294,Entire home/apt,26255.0,5,81
36,74383,Palermo,-34.58743,-58.43309,Entire home/apt,231048.0,3,187
37,75094,Recoleta,-34.58918,-58.39518,Entire home/apt,31507.0,5,175
38,75492,Palermo,-34.589,-58.42024,Entire home/apt,29406.0,1,392
39,75526,Palermo,-34.58261,-58.42345,Entire home/apt,73515.0,3,167
40,77404,Palermo,-34.56692,-58.43324,Entire home/apt,99771.0,2,54
42,77994,San Telmo,-34.62014,-58.37371,Entire home/apt,48005.0,2,7
43,78005,San Telmo,-34.61998,-58.37151,Entire home/apt,31507.0,2,16
44,78009,San Telmo,-34.61998,-58.37151,Entire home/apt,36758.0,2,46
45,78014,San Telmo,-34.61998,-58.37151,Entire home/apt,21004.0,2,29
46,78068,Palermo,-34.58268031001561,-58.40371307667009,Entire home/apt,31507.0,2,32
47,78351,Palermo,-34.5752,-58.43102,Entire home/apt,54611.0,30,13
48,78685,Palermo,-34.5824408017603,-58.40552679586297,Entire home/apt,52511.0,2,62
49,78703,Recoleta,-34.59446,-58.39588,Entire home/apt,28356.0,2,221
50,79247,Boedo,-34.6212,-58.41753,Entire home/apt,37000.0,6,61
51,79766,Recoleta,-34.59118,-58.39664,Entire home/apt,44109.0,2,232
52,81120,Monserrat,-34.61155319213867,-58.38185119628906,Entire home/apt,38827.0,1,162
53,81457,Colegiales,-34.56805,-58.45261,Entire home/apt,115524.0,7,22
54,82623,Colegiales,-34.5742,-58.45024,Entire home/apt,27439.0,5,42
55,83035,Almagro,-34.62053,-58.41653,Entire home/apt,37000.0,7,54
56,83152,Palermo,-34.58268,-58.42314,Entire home/apt,63013.0,3,138
57,83440,Recoleta,-34.59369,-58.41226,Entire home/apt,54611.0,30,8
58,84033,Palermo,-34.58477,-58.42731,Entire home/apt,76151.0,2,190
59,84730,Almagro,-34.62053,-58.41653,Entire home/apt,37000.0,7,84
60,85949,Almagro,-34.62053,-58.41653,Entire home/apt,20809.0,6,54
61,92228,Recoleta,-34.58509,-58.40465,Entire home/apt,84017.0,30,2
62,93174,Balvanera,-34.60299,-58.40194,Private room,25205.0,2,17
63,96490,Palermo,-34.58503,-58.41206,Private room,8000.0,7,1
64,96810,Retiro,-34.59357,-58.38703,Entire home/apt,81769.0,5,44
66,100080,San Nicolas,-34.604145,-58.388741,Entire home/apt,49285.0,3,25
67,104343,Puerto Madero,-34.6022,-58.35541,Entire home/apt,178537.0,1,214
68,106475,Recoleta,-34.58842,-58.40928,Entire home/apt,135026.0,2,163
69,107259,Balvanera,-34.60514,-58.3957,Entire home/apt,404334.0,1,39
70,108089,Palermo,-34.58648,-58.4243,Entire home/apt,39908.0,3,112
71,111501,Palermo,-34.57901,-58.41283,Entire home/apt,45758.0,4,157
72,111934,Palermo,-34.58199,-58.42776,Entire home/apt,37955.0,4,136
73,112559,Caballito,-34.61272,-58.44284,Entire home/apt,49285.0,1,19
74,118069,Palermo,-34.57978,-58.43223,Entire home/apt,48247.0,14,22
75,118070,Palermo,-34.58104,-58.42484,Entire home/apt,75658.0,3,64
76,120874,Recoleta,-34.58991,-58.39931,Entire home/apt,46588.0,7,18
77,122907,Almagro,-34.61982,-58.4166,Entire home/apt,37000.0,6,35
78,129681,Belgrano,-34.55601,-58.45717,Entire home/apt,36758.0,3,17
79,129932,Palermo,-34.5813,-58.42488,Entire home/apt,72013.0,4,150
80,130248,Palermo,-34.57717,-58.41138,Entire home/apt,26255.0,2,143
81,130275,Palermo,-34.5771,-58.41134,Entire home/apt,21004.0,2,19
82,130424,Palermo,-34.57896,-58.43448,Entire home/apt,52511.0,7,9
83,131145,Almagro,-34.60728,-58.41949,Private room,13653.0,3,57
84,133043,Recoleta,-34.59234,-58.39956,Entire home/apt,47260.0,5,26
85,133654,Almagro,-34.62053,-58.41653,Entire home/apt,27423.0,7,73
86,136986,Palermo,-34.58114,-58.42513,Entire home/apt,115524.0,3,194
87,137017,Palermo,-34.58277,-58.42539,Entire home/apt,60913.0,3,273
88,138690,Recoleta,-34.59101,-58.39455,Entire home/apt,22202.0,2,276
89,143173,Balvanera,-34.60929,-58.4031,Private room,31507.0,5,0
90,144827,Recoleta,-34.59491,-58.40497,Entire home/apt,61511.0,4,51
91,150594,Parque Chacabuco,-34.63439,-58.44441,Private room,156792.0,7,0
92,154427,Almagro,-34.62053,-58.41653,Entire home/apt,142379.0,5,76
93,154430,Palermo,-34.59387,-58.41445,Entire home/apt,21004.0,30,2
94,154548,Recoleta,-34.59575,-58.40686,Entire home/apt,28660.0,2,464
95,154767,Almagro,-34.6202,-58.41543,Entire home/apt,142379.0,5,46
96,158056,Palermo,-34.58207,-58.42094,Entire home/apt,42492.0,7,70
97,159007,San Telmo,-34.61934,-58.37497,Entire home/apt,33008.0,3,0
98,159585,Recoleta,-34.59316,-58.40053,Entire home/apt,50410.0,3,20
99,160611,Palermo,-34.56526,-58.4334,Private room,139532.0,1,9
100,161463,Palermo,-34.58101,-58.42503,Entire home/apt,136528.0,3,206
101,166846,Villa Crespo,-34.59161,-58.44006,Entire home/apt,121825.0,5,87
102,168298,Balvanera,-34.60452900374002,-58.394530043005936,Entire home/apt,75017.0,2,21
104,172118,Palermo,-34.58735,-58.42186,Entire home/apt,103971.0,3,89
105,172135,Recoleta,-34.58983,-58.39786,Entire home/apt,33607.0,3,114
106,176318,Monserrat,-34.6156,-58.36843,Entire home/apt,53257.0,4,250
109,182031,Almagro,-34.60047,-58.41764,Private room,18904.0,6,14
110,186005,Retiro,-34.59804,-58.37688,Entire home/apt,68264.0,5,85
111,190988,Palermo,-34.57133,-58.42975,Entire home/apt,74565.0,9,46
112,192259,Almagro,-34.60589,-58.42091,Private room,21004.0,3,50
113,196386,Recoleta,-34.59149,-58.39158,Entire home/apt,84017.0,3,3
114,203340,Palermo,-34.58104,-58.42495,Entire home/apt,66311.0,7,29
115,204628,Palermo,-34.58351,-58.42811,Entire home/apt,63013.0,5,86
116,205781,Palermo,-34.57945,-58.43024,Entire home/apt,157533.0,1,18
117,206738,Palermo,-34.57819,-58.42964,Entire home/apt,509355.0,1,42
118,210040,Palermo,-34.58144,-58.42311,Entire home/apt,63612.0,3,111
119,225752,Boedo,-34.62585,-58.41983,Private room,28476.0,7,2
121,229571,Palermo,-34.58373,-58.4185,Entire home/apt,71415.0,28,25
122,238513,Palermo,-34.581060916288095,-58.43366313615487,Entire home/apt,21751.0,7,66
123,238619,Recoleta,-34.59449,-58.4013,Entire home/apt,36758.0,2,60
124,239718,Palermo,-34.58705,-58.42106,Entire home/apt,41169.0,5,38
125,239853,Palermo,-34.57666,-58.43161,Entire home/apt,68264.0,4,195
126,243320,Villa Crespo,-34.59819,-58.44001,Entire home/apt,36758.0,7,3
127,245895,Palermo,-34.58293,-58.42498,Entire home/apt,66311.0,7,53
128,250327,Recoleta,-34.59067,-58.39909,Entire home/apt,39908.0,10,112
129,253370,Almagro,-34.59871,-58.41421,Entire home/apt,23105.0,4,109
130,262690,Palermo,-34.56945,-58.42982,Entire home/apt,29571.0,90,3
131,264704,Balvanera,-34.61722,-58.40186,Private room,16803.0,5,47
132,264769,Palermo,-34.5808,-58.42314,Entire home/apt,136528.0,3,82
134,275933,Palermo,-34.58044,-58.40753,Entire home/apt,63013.0,3,141
135,278433,Palermo,-34.57945,-58.42914,Entire home/apt,103971.0,1,10
136,278637,Palermo,-34.57768,-58.43042,Entire home/apt,120029.0,1,6
137,280564,Palermo,-34.57936,-58.42894,Entire home/apt,35047.0,40,12
138,281131,Recoleta,-34.59643,-58.39188,Entire home/apt,61963.0,3,52
139,284823,Palermo,-34.58573,-58.42833,Entire home/apt,36758.0,3,34
141,286683,Palermo,-34.58345,-58.4371,Entire home/apt,62428.0,3,48
142,287215,Recoleta,-34.59379577636719,-58.39151763916016,Entire home/apt,47260.0,2,325
143,290421,Palermo,-34.5860595703125,-58.424095153808594,Entire home/apt,82652.0,2,17
145,292877,Palermo,-34.58956,-58.42481,Private room,12603.0,10,20
146,298494,Palermo,-34.5860595703125,-58.424095153808594,Entire home/apt,78619.0,2,49
147,301727,Monserrat,-34.61061,-58.38073,Entire home/apt,33008.0,1,138
148,302722,Palermo,-34.58055,-58.40682,Entire home/apt,47260.0,3,17
149,305216,Palermo,-34.5783,-58.4295,Entire home/apt,731109.0,2,102
150,305313,Parque Patricios,-34.63046,-58.39626,Private room,17854.0,7,27
151,306194,Palermo,-34.58784,-58.41107,Entire home/apt,78766.0,5,21
152,307695,Balvanera,-34.60141,-58.40059,Private room,26285.0,2,3
154,308319,Balvanera,-34.6177,-58.40072,Private room,12603.0,5,39
155,308320,San Cristobal,-34.61887,-58.39995,Private room,15753.0,5,21
156,309428,Constitucion,-34.61834,-58.37902,Entire home/apt,36758.0,6,121
158,315790,Palermo,-34.59087,-58.4227,Private room,29406.0,2,92
159,316228,Palermo,-34.57744,-58.43702,Entire home/apt,174189.0,3,29
160,316251,Villa Crespo,-34.59403,-58.43114,Entire home/apt,36758.0,3,42
161,317484,Palermo,-34.58992,-58.42236,Private room,17854.0,2,203
162,317486,Palermo,-34.59077,-58.42133,Private room,17854.0,2,244
164,317759,Balvanera,-34.60989,-58.40239,Entire home/apt,20809.0,5,78
165,323488,Palermo,-34.5872,-58.42973,Entire home/apt,52511.0,2,60
166,323708,Palermo,-34.59082,-58.42145,Private room,31507.0,2,17
167,325631,Recoleta,-34.59255,-58.4106,Entire home/apt,44561.0,2,399
168,331371,Villa Crespo,-34.59321,-58.44315,Entire home/apt,26255.0,3,43
169,333282,San Nicolas,-34.59927,-58.37867,Private room,47260.0,2,39
171,337301,Balvanera,-34.60334,-58.39398,Entire home/apt,43542.0,3,55
172,338066,Coghlan,-34.56329,-58.47625,Entire home/apt,48310.0,2,123
173,338631,Recoleta,-34.59054,-58.40984,Entire home/apt,31507.0,2,181
174,338678,Recoleta,-34.58844,-58.4026,Entire home/apt,26255.0,5,167
175,338752,Retiro,-34.59737,-58.37387,Entire home/apt,25205.0,7,132
177,342401,Balvanera,-34.5985,-58.40579,Private room,24155.0,1,45
178,348635,Palermo,-34.57867,-58.42826,Entire home/apt,51461.0,3,45
179,350436,Palermo,-34.5746,-58.43412,Entire home/apt,70365.0,90,1
180,358631,Palermo,-34.59465,-58.42039,Entire home/apt,21004.0,3,82
181,358640,Palermo,-34.59538,-58.42039,Entire home/apt,23105.0,3,28
182,362403,Palermo,-34.58689,-58.42543,Entire home/apt,47260.0,2,239
184,369935,Almagro,-34.61095,-58.42192,Private room,21004.0,2,26
185,369961,Almagro,-34.61095,-58.42192,Private room,21004.0,2,74
186,370013,San Nicolas,-34.60475,-58.37574,Entire home/apt,39908.0,4,549
187,371898,San Cristobal,-34.62208,-58.39676,Entire home/apt,36758.0,14,16
188,372072,Palermo,-34.59645,-58.42064,Entire home/apt,21004.0,3,44
189,372073,Palermo,-34.59461,-58.42245,Entire home/apt,21004.0,3,26
190,372075,Palermo,-34.59602,-58.42023,Entire home/apt,21004.0,3,67
191,372085,Palermo,-34.59483,-58.42052,Entire home/apt,21004.0,3,45
192,372086,Palermo,-34.59681,-58.42248,Entire home/apt,21004.0,3,107
193,379826,Palermo,-34.59465,-58.42206,Entire home/apt,23105.0,3,19
194,379839,Palermo,-34.59679,-58.42035,Entire home/apt,18904.0,3,49
195,380943,Almagro,-34.62063,-58.41608,Entire home/apt,26255.0,5,92
196,380989,San Nicolas,-34.60799,-58.37945,Entire home/apt,42009.0,1,45
197,388089,Almagro,-34.5992,-58.42091,Entire home/apt,21004.0,3,60
198,389270,Palermo,-34.59494,-58.42095,Entire home/apt,23105.0,3,52
199,394376,Balvanera,-34.60889,-58.39482,Entire home/apt,31507.0,4,47
200,394407,San Nicolas,-34.60865,-58.38753,Entire home/apt,125280.0,4,226
201,396509,Puerto Madero,-34.61254,-58.36241,Entire home/apt,103373.0,1,225
202,398267,Palermo,-34.58437,-58.41137,Entire home/apt,26255.0,5,134
203,404935,Palermo,-34.58618,-58.42449,Entire home/apt,86422.0,2,205
204,410119,Recoleta,-34.58916,-58.38872,Entire home/apt,262554.0,5,13
205,413228,Palermo,-34.58315,-58.43386,Entire home/apt,30456.0,4,61
206,413349,San Nicolas,-34.6032,-58.39004,Entire home/apt,367576.0,1,38
207,413662,Monserrat,-34.61123,-58.38373,Entire home/apt,39908.0,4,467
208,415298,Monserrat,-34.61481,-58.37701,Entire home/apt,117026.0,2,141
209,415985,Palermo,-34.58164,-58.42526,Entire home/apt,45159.0,14,17
210,427283,Palermo,-34.57907,-58.43848,Entire home/apt,183368.0,3,42
211,435818,Recoleta,-34.58518,-58.40734,Entire home/apt,22055.0,3,44
212,438557,Recoleta,-34.597,-58.41411,Entire home/apt,30603.0,14,40
213,438798,Palermo,-34.5841,-58.42353,Entire home/apt,147030.0,5,120
214,446637,Recoleta,-34.58766,-58.40652,Entire home/apt,40958.0,25,6
215,448784,Recoleta,-34.5941,-58.39278,Entire home/apt,78766.0,65,31
217,455717,Palermo,-34.58877,-58.41211,Entire home/apt,52511.0,3,51
218,456640,Recoleta,-34.5879,-58.39692,Private room,26000.0,1,226
219,456644,Recoleta,-34.58774,-58.39515,Private room,30000.0,1,155
220,458013,Recoleta,-34.58599,-58.39862,Entire home/apt,31507.0,3,92
221,464314,Palermo,-34.57578,-58.42245,Entire home/apt,42009.0,10,26
222,466357,Recoleta,-34.59428,-58.39879,Entire home/apt,43510.0,3,208
223,466736,Palermo,-34.57874,-58.4397,Entire home/apt,45611.0,5,113
224,472446,Recoleta,-34.59106,-58.39071,Entire home/apt,52511.0,3,173
225,476044,Palermo,-34.58718,-58.4312,Entire home/apt,199541.0,2,249
226,487707,Boca,-34.63255,-58.35777,Entire home/apt,24095.0,4,11
229,499565,Palermo,-34.57975,-58.43984,Entire home/apt,52511.0,15,83
230,499705,Palermo,-34.58115350336188,-58.43387797736666,Entire home/apt,76665.0,3,45
231,503974,Palermo,-34.58951,-58.41239,Entire home/apt,126026.0,7,23
233,518190,Palermo,-34.57976,-58.43231,Entire home/apt,48190.0,6,60
235,521338,Recoleta,-34.58838,-58.38925,Entire home/apt,288810.0,7,7
236,521783,Constitucion,-34.61954,-58.38417,Private room,29406.0,2,157
237,523143,Constitucion,-34.62115,-58.38342,Private room,16951.0,2,18
238,530417,Villa Luro,-34.6422,-58.49973,Private room,21004.0,1,0
239,531550,Palermo,-34.59033,-58.43266,Entire home/apt,51461.0,3,36
240,536467,Palermo,-34.59152,-58.42356,Private room,13653.0,9,23
241,540580,Retiro,-34.59628,-58.3853,Entire home/apt,56712.0,2,158
243,553921,Recoleta,-34.58805,-58.39601,Entire home/apt,42009.0,3,57
244,554185,San Nicolas,-34.59924,-58.37681,Entire home/apt,60913.0,4,26
246,561934,Villa Devoto,-34.60549,-58.52316,Entire home/apt,26255.0,3,12
247,564422,Palermo,-34.59433,-58.42617,Entire home/apt,23519.0,5,50
248,565463,Retiro,-34.591766357421875,-58.386356353759766,Entire home/apt,51461.0,1,51
250,568747,Palermo,-34.59507,-58.42044,Entire home/apt,21004.0,3,57
251,578028,Nuñez,-34.54933,-58.46402,Entire home/apt,65713.0,28,30
252,585391,Balvanera,-34.617,-58.40194,Private room,12603.0,5,25
253,586214,Villa Crespo,-34.59628,-58.4274,Entire home/apt,46210.0,4,53
254,589147,Chacarita,-34.58788,-58.44284,Private room,31507.0,3,117
256,590806,Monserrat,-34.61732,-58.39051,Entire home/apt,27306.0,1,42
257,593333,Palermo,-34.58947,-58.4206,Entire home/apt,31507.0,28,21
258,597968,San Nicolas,-34.59997,-58.3807,Entire home/apt,29406.0,3,6
259,598615,Belgrano,-34.55838,-58.44617,Private room,32557.0,5,6
260,604549,Palermo,-34.58737,-58.4287,Entire home/apt,50410.0,20,34
261,605010,Villa Crespo,-34.59247970581055,-58.44221878051758,Entire home/apt,72465.0,3,357
262,605496,Palermo,-34.57833,-58.40894,Entire home/apt,23105.0,2,116
263,619485,Recoleta,-34.59158706665039,-58.4005241394043,Entire home/apt,93018.0,4,29
265,623706,Palermo,-34.57626,-58.4199,Entire home/apt,36758.0,30,181
266,627230,Recoleta,-34.59239,-58.39325,Entire home/apt,34657.0,3,110
267,639888,Recoleta,-34.59093,-58.39578,Entire home/apt,52511.0,3,19
268,640706,Retiro,-34.59518,-58.38239,Entire home/apt,52511.0,7,16
270,644840,Chacarita,-34.58375,-58.44533,Entire home/apt,42009.0,5,21
271,649664,Palermo,-34.58231,-58.43491,Entire home/apt,22359.0,4,45
273,654749,Recoleta,-34.59584,-58.39409,Entire home/apt,36758.0,5,10
274,664172,Palermo,-34.58532,-58.42653,Entire home/apt,124976.0,5,4
275,668244,Almagro,-34.5982,-58.41645,Entire home/apt,637629.0,2,78
277,671183,Palermo,-34.59011,-58.43448,Entire home/apt,231048.0,5,5
278,674899,Palermo,-34.57315,-58.43058,Entire home/apt,125396.0,1,60
279,678613,Palermo,-34.58569,-58.44262,Entire home/apt,31507.0,8,66
280,680386,Almagro,-34.60097,-58.43036,Entire home/apt,48604.0,3,67
282,683097,Palermo,-34.57483,-58.43784,Entire home/apt,42009.0,2,41
283,683193,Palermo,-34.58105,-58.42362,Entire home/apt,141779.0,3,335
284,683194,Palermo,-34.58161,-58.42533,Entire home/apt,66164.0,3,182
285,684500,Palermo,-34.5860481262207,-58.42410659790039,Entire home/apt,70669.0,2,23
286,686484,Recoleta,-34.59125,-58.40209,Entire home/apt,68264.0,3,23
287,686486,Recoleta,-34.59028,-58.40318,Entire home/apt,68264.0,3,29
290,692732,Almagro,-34.61094,-58.42192,Entire home/apt,31507.0,2,13
291,693449,Palermo,-34.58262,-58.40397,Entire home/apt,25508.0,2,59
292,694221,Almagro,-34.61094,-58.42192,Private room,21004.0,2,16
293,696409,Villa Crespo,-34.59148,-58.43764,Entire home/apt,58812.0,4,71
294,696855,Recoleta,-34.59875,-58.39587,Entire home/apt,33607.0,5,14
295,699486,Puerto Madero,-34.62021,-58.36015,Entire home/apt,63013.0,18,22
296,702905,Chacarita,-34.5848,-58.44518,Entire home/apt,23105.0,5,117
299,704509,Palermo,-34.5797,-58.42921,Entire home/apt,33607.0,5,21
300,705822,Recoleta,-34.58424377441406,-58.40284729003906,Entire home/apt,61963.0,7,4
301,710149,Recoleta,-34.5869,-58.39501,Entire home/apt,42009.0,5,50
302,711298,Retiro,-34.59314,-58.38593,Entire home/apt,99771.0,7,44
305,721823,Palermo,-34.58498,-58.42381,Entire home/apt,88218.0,5,46
306,723284,Palermo,-34.5659904,-58.4335951,Entire home/apt,27306.0,2,105
307,724551,Retiro,-34.5928,-58.38374,Entire home/apt,63013.0,4,47
308,725321,Palermo,-34.59307,-58.41916,Entire home/apt,17524.0,90,3
309,726367,Recoleta,-34.59035534949298,-58.40720109735732,Private room,20857.0,2,208
310,727445,Palermo,-34.58514,-58.43938,Entire home/apt,40213.0,7,53
311,734129,Palermo,-34.57858,-58.43895,Entire home/apt,213299.0,2,89
313,737007,Palermo,-34.58299,-58.40658,Entire home/apt,101871.0,120,24
314,737438,Recoleta,-34.58883,-58.39114,Entire home/apt,36758.0,3,54
315,738021,San Nicolas,-34.60391,-58.38498,Entire home/apt,33922.0,3,21
316,739783,Palermo,-34.5766228,-58.4343893,Entire home/apt,36758.0,4,45
317,740886,Palermo,-34.5846,-58.44062,Entire home/apt,178505.0,3,83
319,741087,Villa Crespo,-34.59374,-58.43762,Entire home/apt,619628.0,4,18
320,742573,San Telmo,-34.6185,-58.37373,Entire home/apt,189039.0,3,33
321,742611,Palermo,-34.59487,-58.4222,Entire home/apt,21004.0,3,26
322,742732,Colegiales,-34.57369,-58.45305,Entire home/apt,126026.0,15,14
324,742985,Palermo,-34.57924,-58.43714,Entire home/apt,262554.0,2,2
325,744219,Palermo,-34.59667,-58.42179,Entire home/apt,21004.0,3,38
326,745966,Palermo,-34.59659,-58.42094,Entire home/apt,21004.0,3,74
327,748072,Recoleta,-34.58849,-58.39741,Entire home/apt,42009.0,3,204
328,751731,Palermo,-34.5860481262207,-58.42410659790039,Entire home/apt,82820.0,2,30
329,753089,Balvanera,-34.60011,-58.40016,Entire home/apt,30603.0,3,35
330,756709,Almagro,-34.61094,-58.42192,Private room,21004.0,2,9
331,756838,Almagro,-34.61094,-58.42192,Private room,16803.0,2,15
332,757349,Palermo,-34.58184,-58.40252,Entire home/apt,189039.0,14,0
333,758656,Almagro,-34.60096,-58.43031,Entire home/apt,61217.0,3,76
334,760585,Villa Crespo,-34.59758,-58.43973,Entire home/apt,39908.0,7,6
335,761545,Palermo,-34.59667,-58.42208,Entire home/apt,21004.0,3,33
336,761831,Palermo,-34.5854,-58.42507,Entire home/apt,94520.0,5,3
337,763207,Colegiales,-34.57801,-58.44076,Entire home/apt,55514.0,1,70
338,767957,Almagro,-34.61094,-58.42192,Private room,21004.0,2,9
339,771408,Monserrat,-34.61033,-58.38629,Entire home/apt,67518.0,5,54
340,771593,Monserrat,-34.61109,-58.38668,Private room,78766.0,6,0
341,772453,Recoleta,-34.5991,-58.3871,Entire home/apt,242296.0,3,37
342,773069,Palermo,-34.571847,-58.431704,Entire home/apt,75616.0,2,101
343,776893,Constitucion,-34.62104,-58.38347,Private room,21004.0,1,134
344,777158,Almagro,-34.61094,-58.42192,Private room,21004.0,2,5
345,777160,Almagro,-34.61094,-58.42192,Private room,16803.0,2,4
347,780165,Palermo,-34.5841,-58.42353,Entire home/apt,132327.0,5,110
348,780906,Chacarita,-34.58158,-58.45122,Entire home/apt,35287.0,2,174
349,785860,Colegiales,-34.57127,-58.44283,Private room,34657.0,3,4
350,786681,Chacarita,-34.58626174926758,-58.4476203918457,Entire home/apt,142231.0,7,1
352,787938,Palermo,-34.5882,-58.43105,Entire home/apt,255056.0,7,44
353,789788,Palermo,-34.59457,-58.4224,Entire home/apt,21004.0,3,38
354,795812,Monserrat,-34.61541,-58.3789,Private room,18904.0,14,6
355,796411,Palermo,-34.5854,-58.42739,Entire home/apt,34657.0,3,100
356,798023,Recoleta,-34.59148,-58.40378,Entire home/apt,25510.0,5,3
357,799545,Palermo,-34.58061,-58.43274,Entire home/apt,85068.0,5,74
358,799676,Colegiales,-34.57148,-58.45195,Entire home/apt,36758.0,3,6
359,800875,Villa Crespo,-34.5921,-58.43756,Entire home/apt,366074.0,2,333
360,800959,Recoleta,-34.58506,-58.39933,Entire home/apt,84017.0,5,4
361,801055,San Telmo,-34.62346,-58.37325,Private room,21904.0,3,1
362,801408,Monserrat,-34.60861,-58.38385,Entire home/apt,68264.0,2,103
363,801415,San Telmo,-34.62553,-58.37291,Private room,41618.0,3,5
364,802295,San Telmo,-34.62502,-58.37365,Private room,42714.0,3,0
365,802486,San Telmo,-34.62525,-58.37493,Private room,41618.0,3,1
366,804799,Palermo,-34.57185206723009,-58.43146764724136,Entire home/apt,42009.0,2,45
367,806108,Retiro,-34.59364,-58.38561,Entire home/apt,52511.0,3,37
368,808348,Palermo,-34.56815,-58.43086,Entire home/apt,47260.0,30,85
369,808638,Balvanera,-34.60898,-58.39313,Entire home/apt,31507.0,4,71
370,809738,San Telmo,-34.62178,-58.3767,Entire home/apt,29406.0,3,421
371,811357,Belgrano,-34.55851,-58.4644,Entire home/apt,24155.0,1,114
372,817636,San Telmo,-34.61946,-58.37383,Private room,32857.0,3,4
373,817637,San Telmo,-34.6211,-58.37364,Private room,19954.0,3,3
374,821420,San Telmo,-34.62282354785003,-58.373595301707866,Private room,19714.0,3,0
375,821921,San Telmo,-34.62384771171824,-58.37183536301868,Private room,16428.0,4,33
376,827594,Palermo,-34.58126,-58.42688,Entire home/apt,164296.0,7,27
377,833347,Monserrat,-34.6134,-58.37696,Entire home/apt,38333.0,14,13
378,836605,San Telmo,-34.61751,-58.37158,Private room,19954.0,3,13
380,839233,Recoleta,-34.59027,-58.40729,Private room,34206.0,2,147
381,840958,Palermo,-34.59689,-58.4218,Entire home/apt,21004.0,3,36
383,847685,Recoleta,-34.58772,-58.4018,Entire home/apt,26255.0,7,223
384,847807,Retiro,-34.59739,-58.38147,Entire home/apt,24155.0,3,12
385,848620,Recoleta,-34.58514404296875,-58.4055061340332,Entire home/apt,49885.0,3,19
386,848646,Palermo,-34.58236,-58.42878,Entire home/apt,105022.0,3,19
387,851649,Palermo,-34.59024,-58.4325,Entire home/apt,28503.0,28,31
388,855440,Palermo,-34.58374,-58.42368,Entire home/apt,37209.0,5,60
389,855824,Palermo,-34.58469,-58.42137,Entire home/apt,79218.0,3,43
391,856793,Palermo,-34.59683,-58.42115,Entire home/apt,21004.0,3,25
392,858011,Palermo,-34.58135,-58.4218,Entire home/apt,36758.0,5,53
393,858120,Palermo,-34.58531,-58.42646,Entire home/apt,141779.0,5,6
394,860341,Palermo,-34.57813,-58.43806,Entire home/apt,36306.0,3,218
395,860769,Monserrat,-34.6138,-58.37489,Entire home/apt,28356.0,3,140
396,861444,Colegiales,-34.57176,-58.44299,Entire home/apt,25657.0,6,36
397,862526,San Telmo,-34.61723,-58.37183,Private room,25205.0,5,28
398,862957,Palermo,-34.58981,-58.42531,Private room,12603.0,14,28
399,864101,Palermo,-34.5815,-58.42372,Entire home/apt,44109.0,13,28
400,864202,Almagro,-34.61095,-58.42192,Entire home/apt,31507.0,2,1
401,864723,Palermo,-34.59084,-58.4234,Private room,16803.0,15,17
